Rain (mm),ET(mm),Runoff (mm/day),Date
0,5,0, 1/01/1968
0,5,0, 2/01/1968
2,5,0, 3/01/1968
0,5,0, 4/01/1968
0,5,0, 5/01/1968
0,5,0, 6/01/1968
0,5,0, 7/01/1968
0,5,0, 8/01/1968
0,5,0, 9/01/1968
7.57,5,0,10/01/1968
0,5,0,11/01/1968
0,5,0,12/01/1968
0,5,0,13/01/1968
0,5,0,14/01/1968
0,5,0,15/01/1968
0,5,0,16/01/1968
0,5,0,17/01/1968
0,5,0,18/01/1968
0,5,0,19/01/1968
1.6,5,0,20/01/1968
10.95,5,0,21/01/1968
0,5,0,22/01/1968
0,5,0,23/01/1968
0,5,0,24/01/1968
5.54,5,0,25/01/1968
0,5,0,26/01/1968
0,5,0,27/01/1968
0,5,0,28/01/1968
0,5,0,29/01/1968
0,5,0,30/01/1968
0,5,0,31/01/1968
0,4.24137931,0, 1/02/1968
1,4.24137931,0, 2/02/1968
0,4.24137931,0, 3/02/1968
0,4.24137931,0, 4/02/1968
0,4.24137931,0, 5/02/1968
0,4.24137931,0, 6/02/1968
0,4.24137931,0, 7/02/1968
3.76,4.24137931,0, 8/02/1968
1,4.24137931,0, 9/02/1968
0,4.24137931,0,10/02/1968
0,4.24137931,0,11/02/1968
0,4.24137931,0,12/02/1968
0,4.24137931,0,13/02/1968
0.4,4.24137931,0,14/02/1968
0,4.24137931,0,15/02/1968
0,4.24137931,0,16/02/1968
0,4.24137931,0,17/02/1968
0,4.24137931,0,18/02/1968
0,4.24137931,0,19/02/1968
0,4.24137931,0,20/02/1968
0,4.24137931,0,21/02/1968
0,4.24137931,0,22/02/1968
0,4.24137931,0,23/02/1968
0,4.24137931,0,24/02/1968
0,4.24137931,0,25/02/1968
0,4.24137931,0,26/02/1968
4.87,4.24137931,0,27/02/1968
0,4.24137931,0,28/02/1968
0,4.24137931,0,29/02/1968
0,3.290322581,0, 1/03/1968
0,3.290322581,0, 2/03/1968
0,3.290322581,0, 3/03/1968
0,3.290322581,0, 4/03/1968
1.99,3.290322581,0, 5/03/1968
0,3.290322581,0, 6/03/1968
0,3.290322581,0, 7/03/1968
0.37,3.290322581,0, 8/03/1968
0,3.290322581,0, 9/03/1968
0,3.290322581,0,10/03/1968
0,3.290322581,0,11/03/1968
0,3.290322581,0,12/03/1968
0,3.290322581,0,13/03/1968
0,3.290322581,0,14/03/1968
0,3.290322581,0,15/03/1968
0,3.290322581,0,16/03/1968
0,3.290322581,0,17/03/1968
0,3.290322581,0,18/03/1968
0,3.290322581,0,19/03/1968
0,3.290322581,0,20/03/1968
0,3.290322581,0,21/03/1968
0,3.290322581,0,22/03/1968
10.38,3.290322581,0,23/03/1968
0.55,3.290322581,0,24/03/1968
1.78,3.290322581,0,25/03/1968
0.41,3.290322581,0,26/03/1968
0,3.290322581,0,27/03/1968
0,3.290322581,0,28/03/1968
0,3.290322581,0,29/03/1968
0,3.290322581,0,30/03/1968
20.46,3.290322581,0,31/03/1968
13.76,2.2,0, 1/04/1968
0,2.2,0, 2/04/1968
0,2.2,0, 3/04/1968
0,2.2,0, 4/04/1968
0,2.2,0, 5/04/1968
0,2.2,0, 6/04/1968
0,2.2,0, 7/04/1968
1.59,2.2,0, 8/04/1968
1.41,2.2,0, 9/04/1968
0,2.2,0,10/04/1968
0,2.2,0,11/04/1968
0,2.2,0,12/04/1968
1,2.2,0,13/04/1968
1.96,2.2,0,14/04/1968
3.3,2.2,0,15/04/1968
3.26,2.2,0,16/04/1968
0.4,2.2,0,17/04/1968
0,2.2,0,18/04/1968
0,2.2,0,19/04/1968
6.96,2.2,0,20/04/1968
0.59,2.2,0,21/04/1968
15.73,2.2,0,22/04/1968
3.63,2.2,0,23/04/1968
1,2.2,0,24/04/1968
0,2.2,0,25/04/1968
4.55,2.2,0,26/04/1968
2.59,2.2,0,27/04/1968
0,2.2,0,28/04/1968
28.21,2.2,0,29/04/1968
16.45,2.2,0,30/04/1968
0.56,1.258064516,0, 1/05/1968
0,1.258064516,0, 2/05/1968
27.04,1.258064516,0, 3/05/1968
14.44,1.258064516,0.173, 4/05/1968
5.85,1.258064516,0.288, 5/05/1968
5.99,1.258064516,0.212, 6/05/1968
0,1.258064516,0.115, 7/05/1968
0,1.258064516,0.058, 8/05/1968
0,1.258064516,0.038, 9/05/1968
3.12,1.258064516,0.019,10/05/1968
7.13,1.258064516,0.019,11/05/1968
0.78,1.258064516,0.019,12/05/1968
6.06,1.258064516,0.019,13/05/1968
6.82,1.258064516,0.019,14/05/1968
0.15,1.258064516,0.019,15/05/1968
1,1.258064516,0.019,16/05/1968
1.59,1.258064516,0.019,17/05/1968
6.67,1.258064516,0.038,18/05/1968
15.42,1.258064516,1.5,19/05/1968
31.71,1.258064516,3.288,20/05/1968
0.93,1.258064516,0.981,21/05/1968
6.02,1.258064516,0.731,22/05/1968
1.41,1.258064516,0.596,23/05/1968
13.91,1.258064516,1.654,24/05/1968
17.65,1.258064516,5.5,25/05/1968
10.73,1.258064516,5.692,26/05/1968
10.17,1.258064516,4.288,27/05/1968
25.01,1.258064516,13.173,28/05/1968
