Rain (mm),Temp,Runoff (mm/day),Date
0,11,0, 1/01/1977
0,12,0, 2/01/1977
7.5,11,0, 3/01/1977
0,9,0, 4/01/1977
1,8.5,0, 5/01/1977
9.6,9.8,0, 6/01/1977
26.5,8,0, 7/01/1977
2,4.5,0, 8/01/1977
0,10.4,0, 9/01/1977
0,8.9,0,10/01/1977
2,9,0,11/01/1977
4,10,0,12/01/1977
9.2,11.5,0,13/01/1977
8.8,5.5,0,14/01/1977
0.2,10.5,0,15/01/1977
12,8.5,0,16/01/1977
0,5.5,0,17/01/1977
0,7.5,0,18/01/1977
0,5.5,0,19/01/1977
0,6,0,20/01/1977
0,9,0,21/01/1977
0,8.4,0,22/01/1977
0,3.5,0,23/01/1977
1.4,6.5,0,24/01/1977
2.6,0,0,25/01/1977
0,7,2.6,26/01/1977
0,9.5,0,27/01/1977
0,10.5,0,28/01/1977
0.5,9,0,29/01/1977
0,9.5,0,30/01/1977
9,10.5,0,31/01/1977
0,3.8,0, 1/02/1977
0.4,5.2,0, 2/02/1977
2,3,0, 3/02/1977
0,2,0, 4/02/1977
0,3.7,0, 5/02/1977
0,4.5,0, 6/02/1977
0,5.5,0, 7/02/1977
6.8,10,0, 8/02/1977
4.9,8.7,0, 9/02/1977
2.2,5,0,10/02/1977
0,3.3,0,11/02/1977
0,5.5,0,12/02/1977
0,4.5,0,13/02/1977
4.9,7.7,0,14/02/1977
4,10.5,0,15/02/1977
0.2,7,0,16/02/1977
0,3.5,0,17/02/1977
0,2.5,0,18/02/1977
27.4,10.5,0,19/02/1977
0.4,6.5,0,20/02/1977
0,3,0,21/02/1977
0,4,0,22/02/1977
0.2,10,0,23/02/1977
0.3,10,0,24/02/1977
0,7,0,25/02/1977
8.8,6.5,0,26/02/1977
0,1.2,0,27/02/1977
0,1,0,28/02/1977
0,6,0, 1/03/1977
0,5,0, 2/03/1977
3.4,6.8,0, 3/03/1977
2.8,1.5,0, 4/03/1977
3.8,7.8,0, 5/03/1977
57,11.3,0, 6/03/1977
0,-2.5,0, 7/03/1977
0,1,0, 8/03/1977
0,-2,0, 9/03/1977
1,14.4,0,10/03/1977
10.2,2.9,0,11/03/1977
23.4,2,0,12/03/1977
4.4,1.3,0,13/03/1977
0,-1.5,0,14/03/1977
0,0,0,15/03/1977
0.2,2.4,0,16/03/1977
0,1,0,17/03/1977
0,0,0,18/03/1977
0,2,0,19/03/1977
17,7.5,0,20/03/1977
4,2,0,21/03/1977
0,-4,0,22/03/1977
0,-1,0,23/03/1977
0,4.5,0,24/03/1977
3,-1.5,0,25/03/1977
0,1,1,26/03/1977
0,0.6,0.2,27/03/1977
0,3,1.8,28/03/1977
2,4,0,29/03/1977
0,0,0,30/03/1977
0,-2.2,0,31/03/1977
0,-2.5,0, 1/04/1977
0,1,0, 2/04/1977
0,-1.3,0, 3/04/1977
0,-2.5,0, 4/04/1977
7.6,-1,0, 5/04/1977
6,0,0, 6/04/1977
0.1,0.4,0, 7/04/1977
0,-4.5,0, 8/04/1977
0,-4.5,0, 9/04/1977
0,-3.5,0,10/04/1977
9.4,-1.2,0,11/04/1977
7,-1,0,12/04/1977
5,2.1,3.2,13/04/1977
1.4,1,1,14/04/1977
0,-4.7,0,15/04/1977
0,-4,0,16/04/1977
0,-2,0,17/04/1977
0,-1.5,0,18/04/1977
0,-1.3,0,19/04/1977
0.6,3.2,5.4,20/04/1977
0,-1.2,0,21/04/1977
3.3,7.5,14,22/04/1977
0,-3.2,0,23/04/1977
0,-2.2,0,24/04/1977
0,-4,0,25/04/1977
0,-3.2,0,26/04/1977
3.8,-3.5,0,27/04/1977
11.2,2.4,3.8,28/04/1977
23,2.2,3.4,29/04/1977
32,-6.8,0,30/04/1977
0,-5,0, 1/05/1977
0,-3,0, 2/05/1977
0,0,0, 3/05/1977
0.2,0,0, 4/05/1977
0,2,3, 5/05/1977
0,1,1, 6/05/1977
0,3.8,6.6, 7/05/1977
0,4.8,8.6, 8/05/1977
0,8.3,15.6, 9/05/1977
15.6,3.6,0.5,10/05/1977
1.2,4.2,0,11/05/1977
0.4,-4.9,0,12/05/1977
0.2,3,0.4,13/05/1977
51.7,4.9,0,14/05/1977
81.1,6,0,15/05/1977
0.4,-2.2,0,16/05/1977
0,-1.3,0,17/05/1977
0,-2.5,0,18/05/1977
0,-4.3,0,19/05/1977
1,-2.9,0,20/05/1977
15.6,6.7,1.4,21/05/1977
19.9,0.2,0,22/05/1977
0,-3.9,0,23/05/1977
0,-4.6,0,24/05/1977
4,-1.5,0,25/05/1977
14.6,-3.2,0,26/05/1977
1,-6.8,0,27/05/1977
0,-6,0,28/05/1977
1.4,-1.4,0,29/05/1977
4,-2.5,0,30/05/1977
2.5,-3,0,31/05/1977
1,-4.5,0, 1/06/1977
23.5,2,3, 2/06/1977
25,2,3, 3/06/1977
0,-5.2,0, 4/06/1977
0,-3,0, 5/06/1977
1.5,-2,0, 6/06/1977
0.5,-1.5,0, 7/06/1977
0,-4.5,0, 8/06/1977
0,-6,0, 9/06/1977
2.2,-3,0,10/06/1977
0.1,-6.6,0,11/06/1977
0.1,-6,0,12/06/1977
0.2,-5.1,0,13/06/1977
0,3,5,14/06/1977
13,1,1,15/06/1977
0,-1,0,16/06/1977
0,-4,0,17/06/1977
0,-5,0,18/06/1977
0,-4.5,0,19/06/1977
0,-6,0,20/06/1977
0,-2,0,21/06/1977
0,-3.5,0,22/06/1977
0,-2,0,23/06/1977
0,-4.5,0,24/06/1977
0,-3,0,25/06/1977
0,-1.5,0,26/06/1977
4.8,1,1,27/06/1977
9.8,2.4,3.8,28/06/1977
2,2.5,4,29/06/1977
5,-1,0,30/06/1977
0.1,-2.5,0, 1/07/1977
22,1.5,2, 2/07/1977
41,1,1, 3/07/1977
14.5,0,0, 4/07/1977
1.2,0,0, 5/07/1977
6.5,0,0, 6/07/1977
3.5,-4.5,0, 7/07/1977
3.6,-6,0, 8/07/1977
0,-4,0, 9/07/1977
0,-8.5,0,10/07/1977
0,-8,0,11/07/1977
0,-8,0,12/07/1977
0,-7,0,13/07/1977
0,-3,0,14/07/1977
0,-1.5,0,15/07/1977
2,-6.5,0,16/07/1977
